==== START logs for container etcd of pod kube-system/etcd-kind-1-control-plane ====
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-06-17 06:10:08.648953 I | etcdmain: etcd Version: 3.4.3
2021-06-17 06:10:08.649039 I | etcdmain: Git SHA: 3cf2f69b5
2021-06-17 06:10:08.649046 I | etcdmain: Go Version: go1.12.12
2021-06-17 06:10:08.649058 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-17 06:10:08.649094 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-06-17 06:10:08.649438 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-06-17 06:10:08.651157 I | embed: name = kind-1-control-plane
2021-06-17 06:10:08.651168 I | embed: data dir = /var/lib/etcd
2021-06-17 06:10:08.651173 I | embed: member dir = /var/lib/etcd/member
2021-06-17 06:10:08.651178 I | embed: heartbeat = 100ms
2021-06-17 06:10:08.651183 I | embed: election = 1000ms
2021-06-17 06:10:08.651188 I | embed: snapshot count = 10000
2021-06-17 06:10:08.651197 I | embed: advertise client URLs = https://172.17.0.2:2379
2021-06-17 06:10:08.677550 I | etcdserver: starting member b8e14bda2255bc24 in cluster 38b0e74a458e7a1f
raft2021/06/17 06:10:08 INFO: b8e14bda2255bc24 switched to configuration voters=()
raft2021/06/17 06:10:08 INFO: b8e14bda2255bc24 became follower at term 0
raft2021/06/17 06:10:08 INFO: newRaft b8e14bda2255bc24 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
raft2021/06/17 06:10:08 INFO: b8e14bda2255bc24 became follower at term 1
raft2021/06/17 06:10:08 INFO: b8e14bda2255bc24 switched to configuration voters=(13322012572989635620)
2021-06-17 06:10:08.686816 W | auth: simple token is not cryptographically signed
2021-06-17 06:10:08.702241 I | etcdserver: starting server... [version: 3.4.3, cluster version: to_be_decided]
2021-06-17 06:10:08.705693 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-06-17 06:10:08.705903 I | embed: listening for metrics on http://127.0.0.1:2381
2021-06-17 06:10:08.706269 I | embed: listening for peers on 172.17.0.2:2380
2021-06-17 06:10:08.706344 I | etcdserver: b8e14bda2255bc24 as single-node; fast-forwarding 9 ticks (election ticks 10)
raft2021/06/17 06:10:08 INFO: b8e14bda2255bc24 switched to configuration voters=(13322012572989635620)
2021-06-17 06:10:08.706877 I | etcdserver/membership: added member b8e14bda2255bc24 [https://172.17.0.2:2380] to cluster 38b0e74a458e7a1f
raft2021/06/17 06:10:09 INFO: b8e14bda2255bc24 is starting a new election at term 1
raft2021/06/17 06:10:09 INFO: b8e14bda2255bc24 became candidate at term 2
raft2021/06/17 06:10:09 INFO: b8e14bda2255bc24 received MsgVoteResp from b8e14bda2255bc24 at term 2
raft2021/06/17 06:10:09 INFO: b8e14bda2255bc24 became leader at term 2
raft2021/06/17 06:10:09 INFO: raft.node: b8e14bda2255bc24 elected leader b8e14bda2255bc24 at term 2
2021-06-17 06:10:09.281608 I | etcdserver: setting up the initial cluster version to 3.4
2021-06-17 06:10:09.281818 I | etcdserver: published {Name:kind-1-control-plane ClientURLs:[https://172.17.0.2:2379]} to cluster 38b0e74a458e7a1f
2021-06-17 06:10:09.281886 I | embed: ready to serve client requests
2021-06-17 06:10:09.283483 I | embed: serving client requests on 172.17.0.2:2379
2021-06-17 06:10:09.283834 I | embed: ready to serve client requests
2021-06-17 06:10:09.285503 N | etcdserver/membership: set the initial cluster version to 3.4
2021-06-17 06:10:09.285646 I | etcdserver/api: enabled capabilities for version 3.4
2021-06-17 06:10:09.285754 I | embed: serving client requests on 127.0.0.1:2379
2021-06-17 06:10:21.970150 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:311" took too long (112.666852ms) to execute
2021-06-17 06:10:36.483386 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-xk288\" " with result "range_response_count:1 size:2104" took too long (132.649711ms) to execute
2021-06-17 06:10:36.694657 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-kind-1-control-plane\" " with result "range_response_count:1 size:3172" took too long (152.407348ms) to execute
2021-06-17 06:10:49.925626 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (153.155989ms) to execute
2021-06-17 06:10:50.363116 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:310" took too long (113.022888ms) to execute
2021-06-17 06:13:21.903785 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:311" took too long (110.984538ms) to execute
2021-06-17 06:16:07.202335 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (131.801884ms) to execute
2021-06-17 06:16:09.743187 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:312" took too long (114.323793ms) to execute
2021-06-17 06:20:09.616744 I | mvcc: store.index: compact 1196
2021-06-17 06:20:09.634275 I | mvcc: finished scheduled compaction at 1196 (took 17.12899ms)
2021-06-17 06:25:09.621347 I | mvcc: store.index: compact 2001
2021-06-17 06:25:09.635268 I | mvcc: finished scheduled compaction at 2001 (took 13.566836ms)
